Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  [98] interp (real.c:686 @ 407f66) [67] resid (real.c:525 @ 4055cb) [74] rprj3 (real.c:617 @ 4071db)
  [99] interp (real.c:687 @ 407f6d) [3] resid (real.c:526 @ 4055d1) [88] rprj3 (real.c:618 @ 4071ee)
  [57] interp (real.c:689 @ 407f71) [2] resid (real.c:524 @ 4055dc) [95] rprj3 (real.c:612 @ 4071f6)
 [133] interp (real.c:688 @ 407f85) [29] resid (real.c:523 @ 4055e4) [122] rprj3 (real.c:613 @ 407208)
 [100] interp (real.c:688 @ 407fd4) [17] resid (real.c:525 @ 4055e9) [89] rprj3 (real.c:612 @ 407227)
 [134] interp (real.c:695 @ 40803e) [5] resid (real.c:526 @ 4055f2) [49] rprj3 (real.c:619 @ 40722c)
 [135] interp (real.c:693 @ 408048) [33] resid (real.c:525 @ 4055fa) [56] rprj3 (real.c:620 @ 40724f)
  [14] interp (real.c:692 @ 40804d) [108] resid (real.c:522 @ 405602) [123] rprj3 (real.c:616 @ 40726a)
 [136] interp (real.c:692 @ 408065) [84] resid (real.c:528 @ 405697) [124] rprj3 (real.c:610 @ 40726f)
 [137] interp (real.c:693 @ 40806c) [34] resid (real.c:537 @ 405749) [154] vranlc (randdp.c:72 @ 40a6b0)
  [59] interp (real.c:695 @ 408070) [85] resid (real.c:530 @ 40578e) [44] vranlc (randdp.c:128 @ 40a71d)
  [79] interp (real.c:694 @ 408083) [1] resid (real.c:530 @ 405799) [51] vranlc (randdp.c:129 @ 40a726)
 [155] norm2u3 (real.c:808 @ 4023f0) [109] resid (real.c:537 @ 40579f) [90] vranlc (randdp.c:131 @ 40a72a)
  [72] norm2u3 (real.c:825 @ 4024d0) [47] resid (real.c:538 @ 4057b0) [151] vranlc (randdp.c:129 @ 40a72e)
  [45] norm2u3 (real.c:826 @ 4024e0) [48] resid (real.c:537 @ 4057b4) [52] vranlc (randdp.c:130 @ 40a732)
  [80] norm2u3 (real.c:827 @ 4024f0) [110] resid (real.c:538 @ 4057b8) [65] vranlc (randdp.c:131 @ 40a73a)
 [101] norm2u3 (real.c:826 @ 4024fc) [68] resid (real.c:530 @ 4057bc) [125] vranlc (randdp.c:130 @ 40a73e)
